number,sampleID,site,plot,treatment,year,transect,field_moist_weight_g,conversion_factor,dry_weight_effective_g,sampleID_full,PlateID_NH4,ABS 1_NH4,ABS 2_NH4,ABS 3_NH4,ppm 1_curve1_NH4,ppm 2_curve1_NH4,ppm 3_curve1_NH4,average_ppm_NH4,R2_curve1,ug_g_NH4,,PlateID_NO3,ABS 1_NO3,ABS 2_NO3,ABS 3_NO3,ppm 1_curve2_NO3,ppm 2_curve2_NO3,ppm 3_curve2_NO3,average_ppm_NO3,R2_curve2_NO3,ug_g_NO3
16,6A,DC,6,SP,2024,A,10,0.9799563,9.799563,2024-06-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.072,0.065,0.071,0.620716433,0.296554404,0.574407572,0.497226136,0.996,0.002536981,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.242,0.243,0.238,1.392394044,1.401944238,1.354193266,1.382843849,0.9963,0.00705564
17,6B,DC,6,SP,2024,B,9.95,0.97765862,9.727703269,2024-06-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.126,0.125,0.13,3.121394947,3.075086086,3.306630393,3.167703808,0.996,0.016281869,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.195,0.188,0.197,0.943534913,0.876683554,0.962635302,0.927617923,0.9963,0.004767918
18,6C,DC,6,SP,2024,C,9.97,0.97967001,9.76731,2024-06-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.065,0.064,0.063,0.296554404,0.250245542,0.203936681,0.250245542,0.996,0.001281036,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.2,0.189,0.2,0.991285885,0.886233748,0.991285885,0.956268506,0.9963,0.00489525
19,7A,DC,7,SP,2024,A,10.04,0.98406449,9.88000748,2024-07-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.076,0.074,0.077,0.805951879,0.713334156,0.85226074,0.790515592,0.996,0.004000582,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.326,0.329,0.314,2.194610361,2.223260944,2.08000803,2.165959778,0.9963,0.010961327
20,7B,DC,7,SP,2024,B,10.03,0.98101888,9.839619366,2024-07-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.071,0.072,0.099,0.574407572,0.620716433,1.87105569,1.022059898,0.996,0.005193595,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.292,0.304,0.291,1.869903756,1.984506088,1.860353562,1.904921135,0.9963,0.009679852
21,7C,DC,7,SP,2024,C,10.05,0.98275862,9.876724131,2024-07-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.151,0.146,0.162,4.279116481,4.047572174,4.788513956,4.371734204,0.996,0.022131499,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.301,0.244,0.224,1.955855505,1.411494432,1.220490547,1.529280161,0.9963,0.007741839
22,8A,DC,8,SP,2024,A,10.01,0.9860241,9.870101241,2024-08-A,2025_01_29_NH4_Plate1_Targeted_Grazing,0.109,0.107,0.107,2.334144304,2.241526581,2.241526581,2.272399155,0.996,0.011511529,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.226,0.228,0.22,1.239590935,1.258691324,1.18228977,1.226857343,0.9963,0.006215019
23,8B,DC,8,SP,2024,B,10.03,0.98416887,9.871213766,2024-08-B,2025_01_29_NH4_Plate1_Targeted_Grazing,0.066,0.068,0.063,0.342863265,0.435480988,0.203936681,0.327426978,0.996,0.001658494,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.241,0.236,0.222,1.382843849,1.335092878,1.201390158,1.306442295,0.9963,0.006617435
24,8C,DC,8,SP,2024,C,9.98,0.98532742,9.833567652,2024-08-C,2025_01_29_NH4_Plate1_Targeted_Grazing,0.069,0.079,0.067,0.481789849,0.944878463,0.389172126,0.605280146,0.996,0.003077622,,2025_02_28_NO3_Plate1_Targeted_Grazing,0.181,0.186,0.176,0.809832194,0.857583165,0.762081222,0.809832194,0.9963,0.004117693
25,9A,DC,9,SU,2024,A,10.02,0.98258207,9.845472341,2024-09-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.062,0.073,0.063,0,0.35277222,0,0.11759074,0.9889,0.000597182,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.175,0.196,0.169,0.634841452,0.814075636,0.583631685,0.677516258,0.9961,0.00344075
26,9B,DC,9,SU,2024,B,10.04,0.98270067,9.866314727,2024-09-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.068,0.066,0.068,0.110756589,0.013950337,0.110756589,0.078487838,0.9889,0.000397757,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.243,0.243,0.238,1.215218809,1.215218809,1.172544004,1.200993874,0.9961,0.006086335
27,9C,DC,9,SU,2024,C,10.02,0.97827583,9.802323817,2024-09-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.07,0.07,0.072,0.207562841,0.207562841,0.304369094,0.239831592,0.9889,0.00122334,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.16,0.159,0.159,0.506817035,0.498282074,0.498282074,0.501127061,0.9961,0.002556165
28,10A,DC,10,SU,2024,A,10.01,0.98377683,9.847606068,2024-10-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.066,0.069,0.07,0.013950337,0.159159715,0.207562841,0.126890965,0.9889,0.000644273,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.236,0.238,0.239,1.155474081,1.172544004,1.181078965,1.169699016,0.9961,0.005939002
29,10B,DC,10,SU,2024,B,9.96,0.98490162,9.809620135,2024-10-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.075,0.079,0.08,0.449578472,0.643190976,0.691594103,0.59478785,0.9889,0.003031656,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.266,0.265,0.261,1.411522915,1.402987954,1.36884811,1.394452993,0.9961,0.007107579
30,10C,DC,10,SU,2024,C,10.01,0.98283641,9.838192464,2024-10-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.07,0.071,0.078,0.207562841,0.255965968,0.59478785,0.35277222,0.9889,0.001792871,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.207,0.207,0.213,0.907960208,0.907960208,0.959169975,0.925030131,0.9961,0.00470122
31,11A,DC,11,SU,2024,A,10.01,0.98653827,9.875248083,2024-11-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.066,0.063,0.065,0.013950337,0,0,0.004650112,0.9889,2.35443E-05,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.212,0.213,0.21,0.950635014,0.959169975,0.933565092,0.947790027,0.9961,0.004798816
32,11B,DC,11,SU,2024,B,10.01,0.98728187,9.882691519,2024-11-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.071,0.058,0.06,0.255965968,0,0,0.085321989,0.9889,0.000431674,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.187,0.177,0.175,0.737260986,0.651911375,0.634841452,0.674671271,0.9961,0.003413398
33,11C,DC,11,SU,2024,C,10.02,0.98599229,9.879642746,2024-11-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.075,0.066,0.077,0.449578472,0.013950337,0.546384724,0.336637844,0.9889,0.001703694,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.207,0.197,0.202,0.907960208,0.822610597,0.865285403,0.865285403,0.9961,0.004379133
34,12A,DC,12,SU,2024,A,10.05,0.97909473,9.839902037,2024-12-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.074,0.077,0.068,0.401175346,0.546384724,0.110756589,0.35277222,0.9889,0.00179256,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.235,0.234,0.237,1.14693912,1.138404159,1.164009042,1.149784107,0.9961,0.005842457
35,12B,DC,12,SU,2024,B,9.98,0.97643195,9.744790861,2024-12-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.067,0.07,0.075,0.062353463,0.207562841,0.449578472,0.239831592,0.9889,0.001230563,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.322,0.314,0.309,1.889480739,1.821201049,1.778526244,1.829736011,0.9961,0.009388277
36,12C,DC,12,SU,2024,C,10.02,0.9831623,9.851286246,2024-12-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.076,0.071,0.084,0.497981598,0.255965968,0.885206607,0.546384724,0.9889,0.002773164,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.316,0.317,0.321,1.838270972,1.846805933,1.880945777,1.855340894,0.9961,0.009416744
37,13A,DC,13,FA,2024,A,10.01,0.97432311,9.752974331,2024-13-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.086,0.1,0.085,0.982012859,1.659656625,0.933609733,1.191759739,0.9889,0.006109725,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.257,0.258,0.261,1.334708265,1.343243226,1.36884811,1.3489332,0.9961,0.006915497
38,13B,DC,13,FA,2024,B,9.97,0.97351716,9.705966085,2024-13-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.068,0.077,0.076,0.110756589,0.546384724,0.497981598,0.385040971,0.9889,0.001983527,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.28,0.289,0.283,1.531012371,1.607827021,1.556617254,1.565152216,0.9961,0.008062836
39,13C,DC,13,FA,2024,A,10.04,0.97313027,9.770227911,2024-13-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.146,0.154,0.157,3.886200427,4.273425436,4.418634814,4.192753559,0.9889,0.021456785,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.557,0.556,0.545,3.895196604,3.886661643,3.792777071,3.858211773,0.9961,0.019744738
40,14A,DC,14,FA,2024,A,9.96,0.97988562,9.759660775,2024-14-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.07,0.067,0.076,0.207562841,0.062353463,0.497981598,0.255965968,0.9889,0.001311347,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.176,0.174,0.174,0.643376413,0.626306491,0.626306491,0.631996465,0.9961,0.003237799
41,14B,DC,14,FA,2024,B,10.02,0.98085085,9.828125517,2024-14-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.064,0.062,0.062,0,0,0,0,0.9889,0,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.204,0.199,0.189,0.882355325,0.839680519,0.754330908,0.825455584,0.9961,0.004199456
42,14C,DC,14,FA,2024,C,10.05,0.97731692,9.822035046,2024-14-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.071,0.069,0.068,0.255965968,0.159159715,0.110756589,0.175294091,0.9889,0.000892351,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.185,0.182,0.177,0.720191064,0.69458618,0.651911375,0.688896206,0.9961,0.003506891
43,15A,DC,15,FA,2024,A,10.01,0.98162654,9.826081665,2024-15-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.081,0.07,0.07,0.739997229,0.207562841,0.207562841,0.385040971,0.9889,0.00195928,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.279,0.279,0.263,1.52247741,1.52247741,1.385918032,1.476957617,0.9961,0.007515496
44,15B,DC,15,FA,2024,B,10.02,0.9769003,9.788541006,2024-15-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.07,0.066,0.073,0.207562841,0.013950337,0.35277222,0.191428466,0.9889,0.000977819,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.225,0.224,0.212,1.061589509,1.053054548,0.950635014,1.02175969,0.9961,0.005219162
45,15C,DC,15,FA,2024,A,9.99,0.97900158,9.780225784,2024-15-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.075,0.089,0.086,0.449578472,1.127222238,0.982012859,0.852937856,0.9889,0.004360522,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.307,0.305,0.294,1.761456322,1.744386399,1.650501827,1.718781516,0.9961,0.008787024
46,16A,DC,16,FA,2024,A,9.99,0.97897754,9.779985625,2024-16-A,2025_01_30_NH4_Plate2_Targeted_Grazing,0.079,0.075,0.078,0.643190976,0.449578472,0.59478785,0.5625191,0.9889,0.002875869,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.218,0.217,0.207,1.001844781,0.99330982,0.907960208,0.967704936,0.9961,0.004947374
47,16B,DC,16,FA,2024,B,10.01,0.97537473,9.763501047,2024-16-B,2025_01_30_NH4_Plate2_Targeted_Grazing,0.073,0.068,0.069,0.35277222,0.110756589,0.159159715,0.207562841,0.9889,0.001062953,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.149,0.152,0.149,0.412932463,0.438537346,0.412932463,0.421467424,0.9961,0.002158383
48,16C,DC,16,FA,2024,C,9.97,0.97735595,9.744238822,2024-16-C,2025_01_30_NH4_Plate2_Targeted_Grazing,0.068,0.074,0.084,0.110756589,0.401175346,0.885206607,0.465712847,0.9889,0.002389683,,2025_02_28_NO3_Plate2_Targeted_Grazing,0.217,0.219,0.206,0.99330982,1.010379742,0.899425247,0.967704936,0.9961,0.004965523
49,17A,LK,17,SP,2024,A,10.02,0.96223945,9.641639289,2024-17-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.063,0.071,0.064,0.001300516,0.543543305,0.069080865,0.204641562,0.9801,0.001061238,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.279,0.282,0.272,1.744512761,1.773244027,1.677473142,1.73174331,0.9964,0.008980544
50,17B,LK,17,SP,2024,B,10,0.96727853,9.6727853,2024-17-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.062,0.066,0.065,0,0.204641562,0.136861213,0.113834258,0.9801,0.000588425,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.278,0.298,0.271,1.734935673,1.926477443,1.667896053,1.77643639,0.9964,0.009182652
51,17C,LK,17,SP,2024,C,10,0.95971423,9.5971423,2024-17-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.093,0.084,0.083,2.034710975,1.424687837,1.356907488,1.605435433,0.9801,0.008364133,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.209,0.212,0.206,1.074116566,1.102847831,1.0453853,1.074116566,0.9964,0.005596023
52,18A,LK,18,SP,2024,A,9.95,0.97860587,9.737128407,2024-18-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.058,0.06,0.067,0,0,0.27242191,0.090807303,0.9801,0.000466294,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.189,0.187,0.185,0.882574796,0.863420619,0.844266442,0.863420619,0.9964,0.004433651
53,18B,LK,18,SP,2024,B,10.01,0.97599921,9.769752092,2024-18-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.06,0.06,0.06,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.219,0.217,0.224,1.169887451,1.150733274,1.217772893,1.179464539,0.9964,0.006036307
54,18C,LK,18,SP,2024,C,10,0.97190244,9.7190244,2024-18-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.061,0.059,0.061,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.256,0.265,0.262,1.524239726,1.610433522,1.581702257,1.572125168,0.9964,0.008087875
55,19A,LK,19,SP,2024,A,10.01,0.95942885,9.603882789,2024-19-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.065,0.059,0.067,0.136861213,0,0.27242191,0.136427708,0.9801,0.000710274,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.398,0.436,0.444,2.884186293,3.248115656,3.324732364,3.152344771,0.9964,0.016411824
56,19B,LK,19,SP,2024,B,10.04,0.97415348,9.780500939,2024-19-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.058,0.058,0.069,0,0,0.407982608,0.135994203,0.9801,0.000695231,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.338,0.345,0.37,2.309560983,2.376600603,2.616027815,2.434063134,0.9964,0.012443448
57,19C,LK,19,SP,2024,C,10.05,0.98126716,9.861734958,2024-19-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.1,0.098,0.094,2.509173415,2.373612718,2.102491323,2.328425819,0.9801,0.011805356,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.308,0.304,0.306,2.022248328,1.983939974,2.003094151,2.003094151,0.9964,0.010155891
58,20A,LK,20,SP,2024,A,10.02,0.98358301,9.85550176,2024-20-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.062,0.058,0.056,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.239,0.237,0.248,1.361429221,1.342275044,1.447623018,1.383775761,0.9964,0.007020321
59,20B,LK,20,SP,2024,B,10.03,0.98430204,9.872549461,2024-20-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.063,0.058,0.059,0.001300516,0,0,0.000433505,0.9801,2.19551E-06,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.278,0.272,0.28,1.734935673,1.677473142,1.75408985,1.722166221,0.9964,0.008721993
60,20C,LK,20,SP,2024,C,10.02,0.98357865,9.855458073,2024-20-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.063,0.06,0.061,0.001300516,0,0,0.000433505,0.9801,2.19932E-06,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.284,0.272,0.273,1.792398204,1.677473142,1.68705023,1.718973859,0.9964,0.008720923
61,21A,LK,21,FASP,2024,A,10,0.98017311,9.8017311,2024-21-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.061,0.063,0.061,0,0.001300516,0,0.000433505,0.9801,2.21137E-06,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.62,0.616,0.602,5.010299941,4.971991587,4.837912348,4.940067959,0.9964,0.025199977
62,21B,LK,21,FASP,2024,B,10.02,0.98439864,9.863674373,2024-21-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.063,0.058,0.061,0.001300516,0,0,0.000433505,0.9801,2.19748E-06,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.326,0.325,0.329,2.194635921,2.185058832,2.223367186,2.201020647,0.9964,0.011157205
63,21C,LK,21,FASP,2024,C,9.96,0.9839868,9.800508528,2024-21-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.061,0.055,0.06,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.299,0.252,0.257,1.936054531,1.485931372,1.533816814,1.651934239,0.9964,0.008427799
64,22A,LK,22,FASP,2024,A,9.96,0.98036042,9.764389783,2024-22-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.059,0.059,0.06,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.201,0.199,0.19,0.997499858,0.978345681,0.892151884,0.955999141,0.9964,0.004895335
65,22B,LK,22,FASP,2024,B,9.99,0.98163982,9.806581802,2024-22-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.058,0.059,0.059,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.249,0.246,0.275,1.457200106,1.428468841,1.706204407,1.530624451,0.9964,0.007804067
66,22C,LK,22,FASP,2024,C,10,0.97987547,9.7987547,2024-22-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.061,0.058,0.066,0,0,0.204641562,0.068213854,0.9801,0.000348074,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.278,0.273,0.269,1.734935673,1.68705023,1.648741876,1.690242593,0.9964,0.008624783
67,23A,LK,23,FASP,2024,A,10,0.98102614,9.8102614,2024-23-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.059,0.059,0.061,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.249,0.239,0.242,1.457200106,1.361429221,1.390160487,1.402929938,0.9964,0.007150319
68,23B,LK,23,FASP,2024,B,10,0.98332516,9.8332516,2024-23-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.063,0.062,0.061,0.001300516,0,0,0.000433505,0.9801,2.20428E-06,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.354,0.355,0.329,2.462794399,2.472371488,2.223367186,2.386177691,0.9964,0.012133208
69,23C,LK,23,FASP,2024,C,9.98,0.98332025,9.813536095,2024-23-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.057,0.057,0.059,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.193,0.194,0.188,0.92088315,0.930460238,0.872997707,0.908113699,0.9964,0.004626842
70,24A,LK,24,FASP,2024,A,10.04,0.97738593,9.812954737,2024-24-A,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.054,0.057,0.065,0,0,0.136861213,0.045620404,0.9801,0.00023245,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.145,0.149,0.19,0.461182902,0.499491256,0.892151884,0.617608681,0.9964,0.003146905
71,24B,LK,24,FASP,2024,B,9.97,0.97741069,9.744784579,2024-24-B,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.082,0.076,0.073,1.28912714,0.882445048,0.679104002,0.950225397,0.9801,0.004875559,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.322,0.32,0.309,2.156327567,2.13717339,2.031825416,2.108442124,0.9964,0.010818311
72,24C,LK,24,FASP,2024,C,10.04,0.97666763,9.805743005,2024-24-C,2025_02_10_NH4_Plate3_REDO_Targeted_Grazing,0.06,0.058,0.059,0,0,0,0,0.9801,0,,2025_03_08_NO3_Plate3_Targeted_Grazing,0.148,0.145,0.145,0.489914167,0.461182902,0.461182902,0.47075999,0.9964,0.00240043
