"","location_id","Site","Plot","Trt","Year","Date","Name","species","count","prop_150","perc_150","species_name","functional_group","duration","native_status"
"57","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","BASA",2,0.013,1.333,"Balsamorhiza sagittata","forb","perennial","native"
"58","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","BG",2,0.013,1.333,"bare ground","bare ground","",""
"59","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","LASE",2,0.013,1.333,"Lactuca serriola","forb","annual","introduced"
"60","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","LECI",2,0.013,1.333,"Leymus cinereus","grass","perennial","native"
"61","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","PSSP",2,0.013,1.333,"Pseudoroegneria spicata","grass","perennial","native"
"62","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","W",2,0.013,1.333,"wood","wood","",""
"63","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","COPA",1,0.007,0.667,"Collinsia parviflora","forb","annual","native"
"64","DC_3_FASP","DC",3,"FASP",2022,"7/13/2022","April Hulet","EPBR",1,0.007,0.667,"Epilobium brachycarpum ","forb","annual","native"
"65","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","BRTE",111,0.74,74,"Bromus tectorum","cheatgrass","annual","introduced"
"66","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","L",88,0.587,58.667,"litter","litter","",""
"67","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","SIAL",18,0.12,12,"Sisymbrium altissimum","forb","annual","introduced"
"68","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","BG",16,0.107,10.667,"bare ground","bare ground","",""
"69","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","PRVI",9,0.06,6,"Prunus virginiana","shrub","perennial","native"
"70","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","CAMI",5,0.033,3.333,"Camelina microcarpa","forb","annual","introduced"
"71","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","Lomatium",5,0.033,3.333,"Lomatium spp","forb","perennial","native"
"72","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","ILRI",4,0.027,2.667,"Iliamna rivularis","forb","perennial","native"
"73","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","MARE",3,0.02,2,"Mahonia repens","shrub","perennial","native"
"74","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","PEDE",3,0.02,2,"Penstemon deustus","forb","perennial","native"
"75","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","PUTR",2,0.013,1.333,"Purshia tridentata","shrub","perennial","native"
"76","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","COPA",1,0.007,0.667,"Collinsia parviflora","forb","annual","native"
"77","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","Lupinus",1,0.007,0.667,"Lupinus spp","forb","perennial","native"
"78","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","MAGR",1,0.007,0.667,"Madia gracilis","forb","annual","native"
"79","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","PSSP",1,0.007,0.667,"Pseudoroegneria spicata","grass","perennial","native"
"80","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","SYRO",1,0.007,0.667,"Symphoricarpos rotundifolius","shrub","perennial","native"
"81","DC_4_FASP","DC",4,"FASP",2022,"7/12/2022","April Hulet","VETH",1,0.007,0.667,"Verbascum thapsus","forb","perennial","introduced"
"82","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","BRTE",92,0.613,61.333,"Bromus tectorum","cheatgrass","annual","introduced"
"83","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","L",89,0.593,59.333,"litter","litter","",""
"84","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","PSSP",19,0.127,12.667,"Pseudoroegneria spicata","grass","perennial","native"
"85","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","EPBR",15,0.1,10,"Epilobium brachycarpum ","forb","annual","native"
"86","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","BG",13,0.087,8.667,"bare ground","bare ground","",""
"87","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","POSE",11,0.073,7.333,"Poa secunda","grass","perennial","native"
"88","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","SIAL",9,0.06,6,"Sisymbrium altissimum","forb","annual","introduced"
"89","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","COPA",8,0.053,5.333,"Collinsia parviflora","forb","annual","native"
"90","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","SYRO",7,0.047,4.667,"Symphoricarpos rotundifolius","shrub","perennial","native"
"91","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","LECI",6,0.04,4,"Leymus cinereus","grass","perennial","native"
"92","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","PUTR",5,0.033,3.333,"Purshia tridentata","shrub","perennial","native"
"93","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","BASA",4,0.027,2.667,"Balsamorhiza sagittata","forb","perennial","native"
"94","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","LASE",4,0.027,2.667,"Lactuca serriola","forb","annual","introduced"
"95","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","SCAN",4,0.027,2.667,"Scuttelaria angustifolia ","forb","annual","native"
"96","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","BRSI",3,0.02,2,"Bromus sitchensis","grass","perennial","native"
"97","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","TRDU",3,0.02,2,"Tragopogon dubius","forb","annual","introduced"
"98","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","CEVE",2,0.013,1.333,"Ceanothus velutinus","shrub","perennial","native"
"99","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","Lomatium",2,0.013,1.333,"Lomatium spp","forb","perennial","native"
"100","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","PHHO",2,0.013,1.333,"Phlox hoodii","forb","perennial","native"
"101","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","W",2,0.013,1.333,"wood","wood","",""
"102","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","DF",1,0.007,0.667,"dead forb","forb","",""
"103","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","GAAP",1,0.007,0.667,"Galium aparine ","forb","annual","native"
"104","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","GEVI",1,0.007,0.667,"Geranium viscosissimum","forb","perennial","native"
"105","DC_5_SP","DC",5,"SP",2022,"7/8/2022","Dustin Cousins, Kelly Hopping","PHHA",1,0.007,0.667,"Phacelia hastata","forb","perennial","native"
"106","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","BRTE",91,0.607,60.667,"Bromus tectorum","cheatgrass","annual","introduced"
"107","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","L",39,0.26,26,"litter","litter","",""
"108","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","PSSP",25,0.167,16.667,"Pseudoroegneria spicata","grass","perennial","native"
"109","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","EPBR",13,0.087,8.667,"Epilobium brachycarpum ","forb","annual","native"
"110","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","GEVI",11,0.073,7.333,"Geranium viscosissimum","forb","perennial","native"
"111","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","BG",10,0.067,6.667,"bare ground","bare ground","",""
"112","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","GAAP",9,0.06,6,"Galium aparine ","forb","annual","native"
"113","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","SYRO",9,0.06,6,"Symphoricarpos rotundifolius","shrub","perennial","native"
"114","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","BRSI",8,0.053,5.333,"Bromus sitchensis","grass","perennial","native"
"115","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","HISC",7,0.047,4.667,"Hieracium scouleri","forb","perennial","native"
"116","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","LECI",5,0.033,3.333,"Leymus cinereus","grass","perennial","native"
"117","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","COPA",4,0.027,2.667,"Collinsia parviflora","forb","annual","native"
"118","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","SIAL",4,0.027,2.667,"Sisymbrium altissimum","forb","annual","introduced"
"119","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","CRAC",3,0.02,2,"Crepis acuminata","forb","perennial","native"
"120","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","LASE",3,0.02,2,"Lactuca serriola","forb","annual","introduced"
"121","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","PUTR",3,0.02,2,"Purshia tridentata","shrub","perennial","native"
"122","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","CAGE",2,0.013,1.333,"Carex geyeri ","sedge","perennial","native"
"123","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","ILRI",2,0.013,1.333,"Iliamna rivularis","forb","perennial","native"
"124","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","PRVI",2,0.013,1.333,"Prunus virginiana","shrub","perennial","native"
"125","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","RICE",2,0.013,1.333,"Ribes cereum ","shrub","perennial","native"
"126","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","TRDU",2,0.013,1.333,"Tragopogon dubius","forb","annual","introduced"
"127","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","unknown forb",2,0.013,1.333,"unknown forb","forb","",""
"128","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","CLPE",1,0.007,0.667,"Claytonia perfoliata","forb","annual","native"
"129","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","DRAR",1,0.007,0.667,"Drymocallis arguta ","forb","perennial","native"
"130","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","ERUM",1,0.007,0.667,"Eriogonum umbellatum","forb","perennial","native"
"131","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","MEBU",1,0.007,0.667,"Melica bulbosa","grass","perennial","native"
"132","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","MIGR",1,0.007,0.667,"Microsteris gracilis","forb","annual","native"
"133","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","POPR",1,0.007,0.667,"Poa pratensis","grass","perennial","both"
"134","DC_6_SP","DC",6,"SP",2022,"7/8/2022","Kelly Hopping, Maddi Sorrentino, Dustin Cousins","W",1,0.007,0.667,"wood","wood","",""
"135","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","BRTE",125,0.833,83.333,"Bromus tectorum","cheatgrass","annual","introduced"
"136","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","L",91,0.607,60.667,"litter","litter","",""
"137","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","SIAL",59,0.393,39.333,"Sisymbrium altissimum","forb","annual","introduced"
"138","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","COPA",22,0.147,14.667,"Collinsia parviflora","forb","annual","native"
"139","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","PSSP",18,0.12,12,"Pseudoroegneria spicata","grass","perennial","native"
"140","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","SYRO",8,0.053,5.333,"Symphoricarpos rotundifolius","shrub","perennial","native"
"141","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","BASA",6,0.04,4,"Balsamorhiza sagittata","forb","perennial","native"
"142","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","CRAC",6,0.04,4,"Crepis acuminata","forb","perennial","native"
"143","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","Lupinus",6,0.04,4,"Lupinus spp","forb","perennial","native"
"144","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","HISC",4,0.027,2.667,"Hieracium scouleri","forb","perennial","native"
"145","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","LASE",4,0.027,2.667,"Lactuca serriola","forb","annual","introduced"
"146","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","BG",3,0.02,2,"bare ground","bare ground","",""
"147","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","TECA",3,0.02,2,"Tetradymia canescens","shrub","perennial","native"
"148","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","AGHE",2,0.013,1.333,"Agoseris heterophylla ","forb","annual","native"
"149","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","CHVI",2,0.013,1.333,"Chrysothamnus viscidiflorus","shrub","perennial","native"
"150","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","EPBR",2,0.013,1.333,"Epilobium brachycarpum ","forb","annual","native"
"151","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","PRVI",2,0.013,1.333,"Prunus virginiana","shrub","perennial","native"
"152","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","TRDU",2,0.013,1.333,"Tragopogon dubius","forb","annual","introduced"
"153","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","Gayophytum",1,0.007,0.667,"Gayophytum spp","forb","annual","native"
"154","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","ILRI",1,0.007,0.667,"Iliamna rivularis","forb","perennial","native"
"155","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","LALO",1,0.007,0.667,"Lappula longispina","forb","annual","native"
"156","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","LECI",1,0.007,0.667,"Leymus cinereus","grass","perennial","native"
"157","DC_7_SP","DC",7,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","W",1,0.007,0.667,"wood","wood","",""
"158","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","BRTE",96,0.64,64,"Bromus tectorum","cheatgrass","annual","introduced"
"159","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","L",66,0.44,44,"litter","litter","",""
"160","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","PSSP",17,0.113,11.333,"Pseudoroegneria spicata","grass","perennial","native"
"161","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","POSE",14,0.093,9.333,"Poa secunda","grass","perennial","native"
"162","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","SIAL",14,0.093,9.333,"Sisymbrium altissimum","forb","annual","introduced"
"163","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","BG",11,0.073,7.333,"bare ground","bare ground","",""
"164","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","LECI",7,0.047,4.667,"Leymus cinereus","grass","perennial","native"
"165","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","PUTR",6,0.04,4,"Purshia tridentata","shrub","perennial","native"
"166","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","CHDO",4,0.027,2.667,"Chaenactis douglasii","forb","perennial","native"
"167","DC_8_SP","DC",8,"SP",2022,"7/12/2022","Dustin Cousins, Kelly Hopping","ILRI",3,0.02,2,"Iliamna rivularis","forb","perennial","native"
