Sample_id,Site,Plot,Treatment,Year,Transect,Date_collected,SOM_crucible_g,SOM_crucible_and_sample_g,SOM_crucible_post_105_g,Moisture_correction,dry_to_wet_ratio,NMin_sample_g,dry_NMin_sample_g,NO3_Sample_ID,NO3_ABS_1,NO3_ABS_2,NO3_ABS_3,NO3_ppm1_stcurv1,NO3_ppm2_stcurv1,NO3_ppm3_stcurv1,NO3_ppm_avg_stcurv1,NO3_ppm1_stcurv2,NO3_ppm2_stcurv2,NO3_ppm3_stcurv2,NO3_ppm_avg_stcurv2,NO3_ppm1_stcurv3,NO3_ppm2_stcurv3,NO3_ppm3_stcurv3,NO3_ppm_avg_stcurv3,NO3_plate#,mg_NO3_per_g_stcurv1,mg_NO3_per_g_stcurv2,mg_NO3_per_g_stcurv3,,NH4_Sample_ID,NH4_ABS_1,NH4_ABS_2,NH4_ABS_3,NH4_ppm1_stcurv1,NH4_ppm2_stcurv1,NH4_ppm3_stcurv1,NH4_ppm_avg_stcurv1,NH4_ppm1_stcurv2,NH4_ppm2_stcurv2,NH4_ppm3_stcurv2,NH4_ppm_avg_stcurv2,NH4_ppm1_stcurv3,NH4_ppm2_stcurv3,NH4_ppm3_stcurv3,NH4_ppm_avg_stcurv3,NH4_plate#,mg_NH4_per_g_stcurv1,mg_NH4_per_g_stcurv2,mg_NH4_per_g_stcurv3
4B,DC,4,FASP,2022,B,,14.494,24.097,23.859,1.025413775,0.975216078,10.08,9.830178069,2022-4-B,0.347,0.347,0.332,6.073761923,6.073761923,5.673294104,5.94027265,5.852909131,5.852909131,5.467003034,5.724273765,5.929156503,5.929156503,5.538223107,5.798845371,plate2_20240207,0.030214471,0.029115819,0.029495119,,2022-4-B,0.23,0.205,0.213,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
4C,DC,4,FASP,2022,C,,14.717,24.078,23.836,1.026537998,0.974148061,10.06,9.799929495,2022-4-C,0.294,0.272,0.253,2.673804318,2.057849397,1.525888328,2.085847348,2.579609293,1.985353749,1.472133052,2.012365364,2.555271964,1.966622925,1.45824421,1.993379699,plate3_20240207,0.010642155,0.010267244,0.010170378,,2022-4-C,0.399,0.413,0.391,0.271528321,0.318311697,0.244794963,0.27821166,0.33954099,0.381392304,0.315625953,0.345519749,0.346191599,0.386227791,0.323313775,0.351911055,plate8_20240131,0.001419457,0.001762869,0.001795477
5A,DC,5,SP,2022,A,7/8/22,15.663,24.962,24.791,1.018733567,0.981610926,10.03,9.845557587,2022-5-A,0.226,0.206,0.208,2.843321515,2.309364423,2.362760133,2.50514869,2.739933285,2.225391823,2.276845969,2.414057026,2.77562711,2.254382583,2.306507035,2.445505576,plate2_20240207,0.012722229,0.012259626,0.012419335,,2022-5-A,0.266,0.266,0.257,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
5B,DC,5,SP,2022,B,7/8/23,15.914,25.221,25.04,1.019833443,0.980552272,10.01,9.815328248,2022-5-B,0.362,0.322,0.34,2.583079798,1.643778053,2.066463838,2.097773897,2.683216783,1.707501589,2.146573427,2.179097266,2.624758635,1.67030095,2.099806908,2.131622165,plate7_20240212,0.010686214,0.011100481,0.010858639,,2022-5-B,0.399,0.389,0.381,0.242321798,0.210448013,0.184948984,0.212572932,0.317829413,0.289524593,0.266880737,0.291411581,0.332685915,0.30678326,0.286061136,0.308510104,plate7_20240130,0.001082862,0.001484472,0.001571573
5C,DC,5,SP,2022,C,7/8/22,16.317,26.395,26.213,1.018391269,0.981940861,10.01,9.829228021,2022-5-C,0.18,0.165,0.187,0,0,0.019207906,0.006402635,0,0,0.019982814,0.006660938,0,0,0.020141255,0.006713752,plate8_20240227,3.26E-05,3.39E-05,3.42E-05,,2022-5-C,0.337,0.321,0.313,0.05342727,0.002437184,0,0.018621485,0.125252064,0.078504547,0.055130789,0.0862958,0.160258666,0.117962532,0.096814466,0.125011888,plate6_20240130,9.47E-05,0.000438975,0.000635919
6A,DC,6,SP,2022,A,7/8/23,15.658,25.897,25.685,1.021142914,0.979294853,10.01,9.802741479,2022-6-A,0.2,0.196,0.184,2.149177296,2.042385877,1.722011622,1.971191598,2.071029385,1.968121092,1.659396215,1.899515564,2.098009224,1.993760319,1.681013602,1.924261048,plate2_20240207,0.010054287,0.009688696,0.009814913,,2022-6-A,0.252,0.251,0.252,0,0,0,0,0,0,0,0,0,0,0,0,plate7_20240130,0,0,0
6B,DC,6,SP,2022,B,7/8/22,15.173,25.84,25.625,1.020570226,0.97984438,10.01,9.808242242,2022-6-B,0.28,0.254,0.233,2.281833004,1.553886279,0.965929309,1.600549531,2.201446674,1.499144667,0.931900739,1.544164027,2.180677121,1.485000984,0.92310872,1.529595608,plate3_20240207,0.008159207,0.007871767,0.007797501,,2022-6-B,0.315,0.311,0.732,0.112068695,0.096697742,1.71449052,0.641085653,0.174214821,0.160031101,1.652867619,0.66237118,0.195435134,0.182195914,1.575623903,0.651084984,plate5_20240129,0.003268097,0.003376605,0.003319071
6C,DC,6,SP,2022,C,7/8/23,15.624,25.113,24.92,1.020761618,0.97966066,10.03,9.825996417,2022-6-C,0.334,0.252,0.26,1.925568577,0,0.187860349,0.704476309,2.000216147,0,0.195143039,0.731786395,1.956638256,0,0.190891537,0.715843264,plate7_20240212,0.003584758,0.003723726,0.003642599,,2022-6-C,0.546,0.562,0.559,0.719485263,0.770475349,0.760914707,0.750291773,0.735891504,0.782639021,0.773873862,0.764134796,0.712751914,0.755048047,0.747117522,0.738305828,plate6_20240130,0.003817892,0.003888332,0.003756901
7A,DC,7,SP,2022,A,,14.63,24.653,24.488,1.016737675,0.983537863,10,9.835378629,2022-7-A,0.343,0.323,0.295,4.045703916,3.485744896,2.701802269,3.411083694,3.903178458,3.362946146,2.606620908,3.290915171,3.866353914,3.331218424,2.582028738,3.259867025,plate3_20240207,0.017340887,0.016729987,0.016572148,,2022-7-A,0.271,0.273,0.27,0,0,0,0,0.018193902,0.025285762,0.014647972,0.019375879,0.049803706,0.056423316,0.0464939,0.050906974,plate5_20240129,0,9.85E-05,0.000258795
7B,DC,7,SP,2022,B,,15.66,25.399,25.25,1.015537018,0.984700688,10.02,9.866700893,2022-7-B,0.358,0.227,0.229,1.589111638,0,0,0.529703879,1.834381709,0,0,0.61146057,2.072811132,0,0,0.690937044,plate6_20240209,0.002684301,0.003098607,0.003501358,,2022-7-B,0.392,0.379,0.384,0.220010148,0.178574227,0.19451112,0.197698499,0.298016039,0.261219773,0.275372183,0.278202665,0.314554056,0.280880605,0.293831933,0.296422198,plate7_20240130,0.001001847,0.001409806,0.001502134
7B,DC,7,SP,2022,B,,15.66,25.399,25.25,1.015537018,0.984700688,10.02,9.866700893,2022-7-B REDO NO3,0.254,0.235,0.2,3.950642522,3.286375196,2.062724857,3.099914192,4.431531071,3.686406378,2.313808258,3.477248569,4.401139728,3.661125084,2.297940212,3.453401675,plate9_20240227,0.01570897,0.017621131,0.017500286,,2022-7-B,0.392,0.379,0.384,0.220010148,0.178574227,0.19451112,0.197698499,0.298016039,0.261219773,0.275372183,0.278202665,0.314554056,0.280880605,0.293831933,0.296422198,plate7_20240130,0.001001847,0.001409806,0.001502134
7C,DC,7,SP,2022,C,,15.165,24.73,24.544,1.019831539,0.980554104,10.08,9.883985363,2022-7-C,0.38,0.343,0.348,5.081628102,4.045703916,4.185693671,4.437675229,4.902608237,3.903178458,4.038236536,4.281341077,4.85635457,3.866353914,4.000137786,4.240948757,plate3_20240207,0.022448815,0.02165797,0.021453637,,2022-7-C,0.374,0.309,0.297,0.338790248,0.089012266,0.042899408,0.156900641,0.383424689,0.152939241,0.110388082,0.215584004,0.390713641,0.175576303,0.135858641,0.234049528,plate5_20240129,0.000793711,0.001090572,0.001183984
8A,DC,8,SP,2022,A,7/12/22,15.17,24.787,24.637,1.015844513,0.98440262,10.02,9.863714256,2022-8-A,0.402,0.44,0.401,2.883943343,4.002207089,2.85451535,3.246888594,3.329063102,4.619924304,3.29509307,3.748026825,3.761768351,5.220413222,3.72338296,4.235188178,plate6_20240209,0.016458752,0.018999064,0.021468526,,2022-8-A,0.371,0.366,0.371,0.153075199,0.137138307,0.153075199,0.147762902,0.238575917,0.224423507,0.238575917,0.233858447,0.260158481,0.247207154,0.260158481,0.255841372,plate7_20240130,0.000749023,0.001185448,0.001296882
8B,DC,8,SP,2022,B,7/12/22,15.925,25.482,25.345,1.014543524,0.985664958,10.04,9.896076175,2022-8-B,0.367,0.302,0.295,4.717654739,2.897787926,2.701802269,3.439081645,4.551457233,2.795702218,2.606620908,3.317926786,4.508516502,2.76932616,2.582028738,3.2866238,plate3_20240207,0.017375986,0.01676385,0.016605692,,2022-8-B,0.399,0.347,0.331,0.434858703,0.235036317,0.173552506,0.281149175,0.472072939,0.28768458,0.230949701,0.33023574,0.473458771,0.301348901,0.248392018,0.341066563,plate5_20240129,0.001420508,0.001668519,0.001723241
8C,DC,8,SP,2022,C,7/12/22,15.909,25.75,25.616,1.013804471,0.986383498,10.04,9.903290316,2022-8-C,0.316,0.247,0.26,0.35313592,0,0,0.117711973,0.40764038,0,0,0.135880127,0.460624696,0,0,0.153541565,plate6_20240209,0.000594307,0.000686035,0.000775205,,2022-8-C,0.355,0.353,0.353,0.265778223,0.258092746,0.258092746,0.260654572,0.31605202,0.30896016,0.30896016,0.311324113,0.327827342,0.321207732,0.321207732,0.323414269,plate5_20240129,0.001316,0.001571822,0.001632863
8C,DC,8,SP,2022,C,7/12/22,15.909,25.75,25.616,1.013804471,0.986383498,10.04,9.903290316,2022-8-C REDO NO3,0.242,0.204,0.202,3.531105263,2.20257061,2.132647733,2.622107869,3.960926002,2.470676615,2.392242437,2.941281684,3.933762058,2.453732769,2.37583649,2.921110439,plate9_20240227,0.013238569,0.014850023,0.014748181,,2022-8-C,0.355,0.353,0.353,0.265778223,0.258092746,0.258092746,0.260654572,0.31605202,0.30896016,0.30896016,0.311324113,0.327827342,0.321207732,0.321207732,0.323414269,plate5_20240129,0.001316,0.001571822,0.001632863
9A,DC,9,SU,2022,A,7/7/23,16.913,26.61,26.47,1.014648948,0.985562545,10.01,9.865481077,2022-9-A,0.295,0.206,0.208,4.168115681,0.749108348,0.825939974,1.914388001,4.336270604,0.77932974,0.859260995,1.991620446,4.370652442,0.785508964,0.866073986,2.007411798,plate8_20240227,0.009702456,0.010093884,0.010173917,,2022-9-A,0.405,0.396,0.422,0.270135134,0.24145321,0.324312099,0.278633481,0.323929011,0.297633533,0.373598248,0.331720264,0.340017235,0.31622566,0.384956877,0.34706659,plate6_20240130,0.001412164,0.001681217,0.001758995
9B,DC,9,SU,2022,B,7/7/22,14.72,25.996,25.796,1.01805706,0.982263214,10,9.822632139,2022-9-B,0.286,0.304,0.282,0,0,0,0,0,0,0,0,0,0,0,0,plate6_20240209,0,0,0,,2022-9-B,0.427,0.423,0.414,0.331568397,0.318818883,0.290132476,0.313506585,0.397082909,0.385760981,0.360286643,0.381043511,0.405213348,0.394852286,0.371539897,0.390535177,plate7_20240130,0.001595838,0.00193962,0.001987935
9B,DC,9,SU,2022,B,7/7/22,14.72,25.996,25.796,1.01805706,0.982263214,10,9.822632139,2022-9-B REDO NO3,0.224,0.179,0.17,2.901799375,1.328534654,1.013881709,1.748071913,3.255018397,1.490249387,1.137295585,1.960854456,3.232695553,1.480029289,1.129496036,1.947406959,plate9_20240227,0.008898185,0.009981309,0.009912857,,2022-9-B,0.427,0.423,0.414,0.331568397,0.318818883,0.290132476,0.313506585,0.397082909,0.385760981,0.360286643,0.381043511,0.405213348,0.394852286,0.371539897,0.390535177,plate7_20240130,0.001595838,0.00193962,0.001987935
9C,DC,9,SU,2022,C,7/7/22,15.202,24.996,24.826,1.017664173,0.982642434,10.01,9.836250766,2022-9-C,0.334,0.339,0.288,5.666332378,5.858411441,3.899204992,5.14131627,5.894930084,6.094758222,4.05651121,5.348733172,5.941670371,6.143082926,4.088674865,5.391142721,plate8_20240227,0.026134532,0.027188882,0.02740446,,2022-9-C,0.467,0.485,0.471,0.467721715,0.525085562,0.480469237,0.491092171,0.505075639,0.557666596,0.516762518,0.526501584,0.503914753,0.551497904,0.514488787,0.523300481,plate6_20240130,0.002496338,0.002676333,0.002660061
10A,DC,10,SU,2022,A,7/7/22,14.717,24.892,24.742,1.014962594,0.985257985,10,9.852579853,2022-10-A,0.314,0.28,0.324,0.294279933,0,0.588559866,0.294279933,0.339700317,0,6.346900246,2.228866854,0.383853913,0,0.767707827,0.383853913,plate6_20240209,0.001493416,0.011311082,0.001947987,,2022-10-A,0.379,0.365,0.362,0.178574227,0.133950928,0.124388792,0.145637983,0.261219773,0.221593025,0.213101579,0.231971459,0.280880605,0.244616888,0.236846092,0.254114528,plate7_20240130,0.000739086,0.001177212,0.001289584
10B,DC,10,SU,2022,B,7/7/23,15.915,25.368,25.229,1.014923771,0.985295673,10.03,9.882515604,2022-10-B,0.299,0.28,0.209,1.10367955,0.657511221,0,0.58706359,1.146465353,0.683000636,0,0.609821996,1.121487781,0.66812038,0,0.596536054,plate7_20240212,0.002970213,0.003085358,0.003018139,,2022-10-B,0.405,0.403,0.401,0.270135134,0.263761373,0.257387612,0.263761373,0.323929011,0.318085571,0.312242132,0.318085571,0.340017235,0.334730218,0.329443201,0.334730218,plate6_20240130,0.001334485,0.001609335,0.001693548
10C,DC,10,SU,2022,C,7/7/22,16.913,27.766,27.589,1.016579243,0.983691145,10.01,9.846748365,2022-10-C,0.399,0.299,0.263,3.451933912,1.10367955,0.25830798,1.604640481,3.585753338,1.146465353,0.268321678,1.66684679,3.507631995,1.121487781,0.262475864,1.63053188,plate7_20240212,0.008148073,0.008463945,0.008279545,,2022-10-C,0.417,0.419,0.445,0.308377698,0.314751458,0.397610348,0.340246501,0.358989649,0.364833088,0.440797803,0.388206847,0.371739335,0.377026352,0.445757569,0.398174419,plate6_20240130,0.00172771,0.001971244,0.002021857
11A,DC,11,SU,2022,A,7/7/22,15.204,24.949,24.803,1.015209918,0.985017958,10.03,9.879730118,2022-11-A,0.352,0.447,0.394,1.412543678,4.208203042,2.648519397,2.756422039,1.630561519,4.857714526,3.057302849,3.181859631,1.842498784,5.489110961,3.45468522,3.595431655,plate6_20240209,0.013949885,0.016102968,0.018196001,,2022-11-A,0.405,0.395,0.381,0.261446069,0.229572284,0.184948984,0.225322446,0.334812305,0.306507485,0.266880737,0.302733509,0.348227508,0.322324853,0.286061136,0.318871166,plate7_20240130,0.001140327,0.001532094,0.001613765
11B,DC,11,SU,2022,B,7/7/23,15.626,26.053,25.922,1.012723388,0.987436463,10,9.87436463,2022-11-B,0.382,0.325,0.33,3.05273067,1.714225684,1.831638402,2.199531586,3.17107438,1.780680229,1.902644628,2.284799746,3.101987478,1.741885276,1.861192487,2.235021747,plate7_20240212,0.011137585,0.011569351,0.011317294,,2022-11-B,0.349,0.338,0.358,0.091669834,0.05661415,0.120351757,0.089545247,0.160312702,0.128173784,0.18660818,0.158364889,0.191980767,0.162902175,0.215772342,0.190218428,plate6_20240130,0.000453423,0.000801899,0.000963193
11C,DC,11,SU,2022,C,7/7/22,15.466,25.947,25.806,1.013636364,0.986547085,10.07,9.934529148,2022-11-C,0.37,0.279,0.287,1.942247558,0,0,0.647415853,2.242022089,0,0,0.747340696,2.533435828,0,0,0.844478609,plate6_20240209,0.003258412,0.003761329,0.00425022,,2022-11-C,0.394,0.382,0.395,0.226384905,0.188136363,0.229572284,0.214697851,0.303677003,0.269711219,0.306507485,0.293298569,0.319734587,0.288651402,0.322324853,0.310236947,plate7_20240130,0.001080564,0.001476157,0.001561407
11C,DC,11,SU,2022,C,7/7/22,15.466,25.947,25.806,1.013636364,0.986547085,10.07,9.934529148,2022-11-C REDO NO3,0.24,0.217,0.217,3.461182387,2.657069307,2.657069307,2.925107,3.882491823,2.980498774,2.980498774,3.281163123,3.85586578,2.960058578,2.960058578,3.258660979,plate9_20240227,0.014721921,0.016513934,0.016400682,,2022-11-C,0.394,0.382,0.395,0.226384905,0.188136363,0.229572284,0.214697851,0.303677003,0.269711219,0.306507485,0.293298569,0.319734587,0.288651402,0.322324853,0.310236947,plate7_20240130,0.001080564,0.001476157,0.001561407
12A,DC,12,SU,2022,A,7/14/22,16.304,25.507,25.308,1.022101288,0.978376616,10.03,9.813117462,2022-12-A,0.166,0.166,0.167,1.241450239,1.241450239,1.268148094,1.250349524,1.196308899,1.196308899,1.222035972,1.20488459,1.211893527,1.211893527,1.237955753,1.220580936,plate2_20240207,0.006370807,0.006139153,0.006219129,,2022-12-A,0.214,0.217,0.224,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
12B,DC,12,SU,2022,B,7/14/22,16.91,26.53,26.369,1.017020827,0.983264033,10,9.832640333,2022-12-B,0.286,0.229,0.235,2.44982071,0.853937505,1.021925211,1.441894475,2.363516367,0.823854277,0.98592397,1.391098205,2.341217768,0.816081622,0.976622269,1.377973886,plate3_20240207,0.007332184,0.007073879,0.007007141,,2022-12-B,0.376,0.366,0.374,0.346475725,0.308048343,0.338790248,0.331104772,0.390516549,0.35505725,0.383424689,0.376332829,0.397333252,0.3642352,0.390713641,0.384094031,plate5_20240129,0.001683702,0.001913692,0.001953158
12C,DC,12,SU,2022,C,7/14/22,16.069,26.63,26.446,1.017731522,0.982577407,10.01,9.835599848,2022-12-C,0.244,0.241,0.244,1.273906769,1.189912916,1.273906769,1.245908818,1.229028511,1.147993664,0.489498416,0.955506864,1.217433239,1.137162916,1.217433239,1.190676465,plate3_20240207,0.00633367,0.00485739,0.006052892,,2022-12-C,0.398,0.382,0.377,0.431015965,0.369532154,0.350318463,0.383622194,0.468527009,0.411792129,0.394062479,0.424793872,0.470148966,0.417192083,0.400643057,0.429328035,plate5_20240129,0.001950172,0.002159471,0.002182521
13A,DC,13,FA,2022,A,7/19/22,16.3,26.03,25.791,1.025181751,0.975436793,10.04,9.793385406,2022-13-A,0.362,0.314,0.305,6.741975134,4.898016123,4.552273808,5.397421689,7.013967659,5.09561753,4.735926881,5.61517069,7.069580679,5.136020151,4.773477552,5.659692794,plate8_20240227,0.027556465,0.02866818,0.028895487,,2022-13-A,0.592,0.596,0.583,0.866081759,0.87882928,0.837399836,0.860770292,0.870290615,0.881977495,0.843995137,0.865421082,0.834353298,0.844927332,0.810561723,0.829947451,plate6_20240130,0.004394651,0.004418396,0.004237286
13B,DC,13,FA,2022,B,7/19/22,16.569,26.48,26.256,1.023123774,0.97739885,10.03,9.803310463,2022-13-B,0.366,0.291,0.281,4.689656788,2.589810465,2.309830955,3.196432736,4.524445618,2.498574446,2.228458289,3.083826118,4.481759727,2.47500164,2.207433895,3.054731754,plate3_20240207,0.016302823,0.015728494,0.015580103,,2022-13-B,0.51,0.472,0.484,0.861402642,0.715378591,0.761491449,0.779424227,0.865671165,0.730925826,0.773476986,0.790024659,0.840847149,0.715074551,0.754792214,0.770237971,plate5_20240129,0.003975311,0.004029377,0.003928459
13C,DC,13,FA,2022,A,7/19/22,15.205,25.845,25.569,1.026630645,0.97406015,10.02,9.760082707,2022-13-C,0.363,0.286,0.302,4.605662935,2.44982071,2.897787926,3.31775719,4.443410771,2.363516367,2.795702218,3.200876452,4.401489404,2.341217768,2.76932616,3.170677777,plate3_20240207,0.016996563,0.016397794,0.016243089,,2022-13-C,0.422,0.375,0.364,0.523241681,0.342632986,0.300362866,0.388745845,0.553629328,0.386970619,0.34796539,0.429521779,0.549584291,0.394023447,0.357615589,0.433741109,plate5_20240129,0.001991509,0.0022004,0.002222016
14A,DC,14,FA,2022,A,7/19/22,15.172,25.224,25.021,1.02061123,0.979805014,10.04,9.83724234,2022-14-A,0.479,0.334,0.344,5.330537402,1.925568577,2.160394013,3.13883333,5.537183725,2.000216147,2.244144946,3.26051494,5.416547366,1.956638256,2.195252677,3.189479433,plate7_20240212,0.015953827,0.016572302,0.016211248,,2022-14-A,0.867,0.867,0.853,1.742473855,1.742473855,1.69785753,1.727601747,1.673763563,1.673763563,1.632859485,1.66012887,1.561318097,1.561318097,1.52430898,1.548981725,plate6_20240130,0.008780925,0.008437979,0.007873049
